                                    repo,                                   commit, notebooks, language, version
                     sanjidahmy/testingx, 8112d07f121df4ce77b7b71c38a445839470ef1e,         2,    python,   3.5.2
               LimLawrence/LearningCodes, 74fcd46eedd00cb310efeeb4b9c1ba25f3059cc6,         1,    python,  2.7.13
                Verbon/SentimentAnalysis, 063d812ec803fde20431471fec5716cde3a48241,         1,    python,   3.6.3
brianoleary15/Visualizing-The-Gender-Gap-In-College-Degrees, e8182a569dd67e7c5b5dd0146100dbdce373515a,         1,    python,   3.4.3
         gundamkeroro/autoencoder-celebA, 1c454c01567e4dfdd4cc3fddfe63d7ea4d1f7482,         1,    python,   3.6.0
           brandonongnz/star_wars_survey, 37a21580d7b1d86d79d9e1b57a043727657fd605,         1,    python,  2.7.13
riccardoalbertazzi/computer-vision-image-processing, 97ce61f55c7c99bba1da0e600f113995c8d7995e,         2,    python,  2.7.12
            thiagoandrade6/deep-learning, e0b916f5ae25563c21ee9cec86a12904bdb9fb0a,         1,    python,   3.5.2
                     werkerostyk/amcp_dc, af7ebf4a0105722c3623b6fc451c37c44df6bca6,         3,    python,   3.6.4
        FAES-BIOF/03-loop-example-beyfea, 91b09bfba92391a790ee25136e7eac28fafd6cdf,         1,    python,   3.6.1
                jrios6/Adam-vs-SGD-Numpy, 2230f7f8c18aa1fa11b6313384209b3c04f6b98e,         1,    python,   3.5.3
              tprakash2211/Assignment4.1, 3f47da725dc05f1cc7e02555e9fa7c7fbb313270,         1,    python,   3.6.3
                  bmenounos/geog311_lab3, 8f3a16569b201e922482658abe847d7eebeee36e,         1,    python,   3.4.5
         CPSC585/perceptron-VirajDeshwal, f5d0d5cbb36f8f53a2b4d27ad280d95a4cf5b4d5,         1,    python,   3.6.2
                   PiffTizz123/test-repo, fe57dc01e1f64a8637ca00213c4cb32397cbe7bc,         1,    python,   3.5.2
              hazkaz/bookish-octo-waffle, 65a38b8db559e80ceafc2bda4b2e34801c40fe2f,         1,    python,   3.6.3
                   theBlindRooster/Pyber, d420a1abf7aa5fd1c7f4a5aa4cde13d48c83436b,         2,    python,   3.6.3
      nohd0/BostonHousingPricePrediction, 3190e42886f9625418b29a6496ebef151adfe243,         1,    python,   3.6.2
