                                    repo,                                   commit, notebooks, language, version
learn-co-students/calculating-distance-lab-data-science-pilot, 514b276d284b05b1860495bab3b17b601136418c,         1,    python,   3.6.4
learn-co-students/calculating-distance-lab-data-science-pilot-test, 94c9b65da642534d06c5cb5005a5b593e48f57a2,         1,    python,   3.6.1
                           lbzqwe/binder, b0720c745f2ebdf80d0780a3c438b120ed105ccf,         1,    python,   2.7.9
            kojoidrissa/pycaribbean_2018, 5c3d3d1aa2239acfcc2ba02c3f6ee8045ce98272,         1,    python,   3.6.1
learn-co-students/python-variables-lab-demo-machine-learning, 6fe3f2a3aa8482970a262503bc99029eb1c92606,         1,    python,  2.7.14
learn-co-students/visualizing-in-python-data-science-pilot, 3a60568fd8d6aa93e1de495cda3a869e1d509af5,         1,    python,   3.6.1
                     madhug/bike-sharing, 9a7aa7b7b551a03b83e9d05fb708163fc8c7369b,         1,    python,   3.6.3
madhujahagirdar/your-first-neural-network, d5e296b0af98cf49acf47ba6dafd98fb000d49ca,         1,    python,   3.6.1
      madhur-taneja/First-Neural-Network, 2301ee16fc9edf37d1e3ae8883713b9959472573,         1,    python,   3.6.4
                maeehart/AutotalliSpyder, 30c279d01d75442b502cdb1e9f04ebc4d9f60243,         1,    python,   3.5.2
           marceljm/first-neural-network, 29fe1e9d1a593029509d35a7b9da29918d173ddb,         1,    python,   3.6.4
              marcellobenigno/webmapping, b3457d26da5a49e0d226a0be7272a93b928d6c29,         1,    python,   3.5.0
marcinbielecki/Advanced-Macroeconomics-in-Python, 8d4b4646640ecd19ca71330dff31099616c3c9b8,         1,    python,   3.6.0
                        marcosflp/crypto, ebe7cf162c68f65693257cd76f8232f4bc71573b,         1,    python,   3.5.3
markusbuchholz/DLND-P1-Bike-Sharing-First-Neural-Network, 241297a27598f48f8c33999dcda872a01551a966,         1,    python,   3.5.3
               martako/AI-SVM-classifier, d33f727629156b9a7e66588e1bdf340f2f2f25df,         1,    python,   3.6.0
                martinkersner/ann-meetup, fe1237bcf0f064f961e0305ca5668f1278dee976,         1,    python,  2.7.13
               lyzs90/booking-validation, 649d95c5333d24d2490c6e2e88dd1312ee0f116a,         1,    python,   3.4.4
      martinkersner/meta-learning-meetup, e7074958c3f34437d080449d7631f600dbb06c52,         1,    python,   3.6.2
               mashabow/font-pen-samples, 6e5122f165fc49ad07b0d16c0935b5f465fe4e44,         1,    python,   3.6.3
mathewmorales/First-Neural-Network-Project, d859ad5e9a063a49ab9e27d3b093e590bd3e964b,         1,    python,   3.6.3
           matthiaskoenig/libsbgn-python, 9a9fba8849512a8f2178ecac0fe1ead0283c1a98,         1,    python,  2.7.12
               matthiaskoenig/sbml-merge, d6636cfccf0f72320a4c2b7b6829c53b957020ea,         1,    python,   3.6.2
            matthiaskoenig/tellurium-cas, 652ce0154c954f8269dd5ab301c8de766860d922,         1,    python,   3.5.2
          matthiaskoenig/universal-model, 79233bfe5160f7a07b2d2959f68eb42b9e10358b,         1,    python,   3.5.2
     matthiasludwig/first-neural-network, 07c17c4c481019b84affc7305639bfb88e4c805d,         1,    python,   3.6.0
          mbabd2016/russianhousingmarket, 6293d040ff6dd981bb9c88d68a1dae44f3523537,         1,    python,   3.6.1
              mcmcclur/jupyter_notebooks, ffb6db590f6496702bde269526ca872f7f4c1ee2,         1,    python,   3.6.0
    med-hachoum/heart-disease-prediction, 29cd2d434185dcf95b8e26386941edd0da91eb9c,         1,    python,   3.6.3
        meilinger/introduction-to-django, 2c24323d90dd5ad7790acb26d308c07c164ea27c,         1,    python,  2.7.13
          martinwxi/First-Neural-Network, 4bfe673575f6ab77bf2287cf7e1a7545467d0377,         1,    python,   3.6.5
learn-co-students/visualizing-in-python-data-science, 3a60568fd8d6aa93e1de495cda3a869e1d509af5,         1,    python,   3.6.1
        luqmanhakim/first-neural-network, 1b2ba29405991ad38a45d64ad0a8bc0d6e3b1efe,         1,    python,   3.6.0
       luhego/udacity-aind-sudoku-solver, 14b2f04f676bc3425f059a23a84638a3b77c21e0,         1,    python,   3.6.3
learn-co-students/visualizing-in-python-data-science-pilot-test, 57f66b15a55fa94fd7bbcb9653cdfcf65e4822f9,         1,    python,   3.6.1
learn-co-students/visualizing-in-python-ds-test-lights, 57f66b15a55fa94fd7bbcb9653cdfcf65e4822f9,         1,    python,   3.6.1
learn-co-students/visualizing-in-python-ds-test-nikhil-steven, 57f66b15a55fa94fd7bbcb9653cdfcf65e4822f9,         1,    python,   3.6.1
learn-co-students/visualizing-in-python-nikhil-data-science-test, 57f66b15a55fa94fd7bbcb9653cdfcf65e4822f9,         1,    python,   3.6.1
learn-co-students/visualizing-in-python-nikhil-test-ds, 57f66b15a55fa94fd7bbcb9653cdfcf65e4822f9,         1,    python,   3.6.1
         leejonggun/first-neural-network, abf4d93682b72c3d0a1ab7a8070ae87fa4e01c82,         1,    python,   3.6.1
          leephillips/JupyterExperiments, 481888a2fc515a84344ebc1d49efb2ad9eb3b17a,         1,    python,   3.6.3
        lemoinef/dlnd_embedding_word2vec, a866c4a92cb4953a24621141baf7d086063f788a,         1,    python,   3.6.1
                 leo-gan/PyTorch-SungKim, 8024691721978c8fa27278ea875081b3f4bdb21c,         1,    python,   3.5.3
       lfedeli/Training-RNN-by-diffusion, acea73a445e9f893c1bcc2803257cbeafd1823cf,         1,    python,   3.5.3
              lgaetecl/DataScienceTraine, fd3fcf38c2ef3675d77d6b041396d6ab50de8e27,         1,    python,   3.6.4
